post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url
"Earrings ""Naruto""",earrings-naruto,,171,,,publish,,0,"2022-04-19 16:07:41",1,open,,,,no,no,,7,,0.1,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/ceh1.jpeg ! alt :  ! title : ceh1 ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=earrings-naruto
"Earrings ""CRIO Genshin Impact""",earrings-crio-genshin-impact,,180,,,publish,,0,"2022-04-19 16:19:10",1,open,,,,no,no,,6,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/ceh5.jpg ! alt :  ! title : ceh5 ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=earrings-crio-genshin-impact
"Keychains ""Tanziro Demon Slayer""",keychains-tanziro-demon-slayer,,202,,,publish,,0,"2022-04-20 23:10:57",1,open,,,,no,no,,5,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/Hc805131012e14e60a5e4d8938f689fa6P.jpg ! alt :  ! title : Hc805131012e14e60a5e4d8938f689fa6P ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=keychains-tanziro-demon-slayer
"Figure acryl ""Hatsune Miku""",figure-acryl-hatsune-miku,,212,,,publish,,0,"2022-04-20 23:29:36",1,open,,,,no,no,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/4b8c129ff58d0202e880f4b7df07ed08ae7af31a_original.jpeg ! alt :  ! title : 4b8c129ff58d0202e880f4b7df07ed08ae7af31a_original ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=figure-acryl-hatsune-miku
"Ball Doll Beer",ball-doll-beer,,214,"Attention: delivery of this product is from 1 to 3 months!",Pre-order,publish,,0,"2022-04-20 23:33:31",1,open,,,,no,no,,55,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/51vP-tKYmhL._AC_SY580_-1.jpg ! alt :  ! title : 51vP-tKYmhL._AC_SY580_ ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=ball-doll-beer
"Figure ""Hatsune Miku""",figure-hatsune-miku,,216,,Pre-order,publish,,0,"2022-04-20 23:36:26",1,open,,,,no,no,,60,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/H95d047efdede4c268489e02b6b6a6f9eE.jpg ! alt :  ! title : H95d047efdede4c268489e02b6b6a6f9eE ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=figure-hatsune-miku
"Lemonade Vasabi",lemonade-vasabi,,217,,,publish,,0,"2022-04-20 23:39:20",1,open,,,,no,no,,14.50,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/8931.970x0.jpg ! alt :  ! title : 8931.970x0 ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=lemonade-vasabi
"Chocolate CaokoCha Green Tea",chocolate-caokocha-green-tea,,219,,,publish,,0,"2022-04-20 23:44:19",1,open,,,,no,no,,18,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/Без-названия-1.jpg ! alt :  ! title : Без названия (1) ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=chocolate-caokocha-green-tea
"Handmade Sushi",handmade-sushi,,221,,,publish,,0,"2022-04-20 23:48:44",1,open,,,,no,no,,20,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/f606b2ce263dc4a22007300f5da183e5.jpg ! alt :  ! title : f606b2ce263dc4a22007300f5da183e5 ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=handmade-sushi
"Mochi Chocolate",mochi-chocolate,,224,,,publish,,0,"2022-04-20 23:50:57",1,open,,,,no,no,,20,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/HTB1kH0_GVXXXXbuXXXXq6xXFXXXj-1.jpg ! alt :  ! title : HTB1kH0_GVXXXXbuXXXXq6xXFXXXj ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=mochi-chocolate
